Voters,date,voters_expected,voters_observed
"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Kelley', 'Mr. McTeer', 'Mr. Meyer', 'Mr. Moskow', 'Ms. Rivlin', 'Mr. Stern']",1999-02-03,11.0,11.0
"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Kelley', 'Mr. McTeer', 'Mr. Meyer', 'Mr. Moskow', 'Ms. Rivlin', 'Mr. Stern']",1999-03-30,11.0,11.0
"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Kelley', 'Mr. McTeer', 'Mr. Meyer', 'Mr. Moskow', 'Ms. Rivlin', 'Mr. Stern']",1999-05-18,11.0,11.0
"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Kelley', 'Mr. McTeer', 'Mr. Meyer', 'Mr. Moskow', 'Mr. Stern']",1999-06-30,10.0,10.0
"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Kelley', 'Mr. McTeer', 'Mr. Meyer', 'Mr. Moskow', 'Mr. Stern']",1999-08-24,10.0,10.0
"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Kelley', 'Mr. McTeer', 'Mr. Meyer', 'Mr. Moskow', 'Mr. Stern']",1999-10-05,10.0,10.0
"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Kelley', 'Mr. McTeer', 'Mr. Meyer', 'Mr. Moskow', 'Mr. Stern']",1999-11-16,10.0,10.0
"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Kelley', 'Mr. McTeer', 'Mr. Meyer', 'Mr. Moskow', 'Mr. Stern']",1999-12-21,10.0,10.0
"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Guynn', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Meyer', 'Mr. Parry']",2000-02-02,10.0,10.0
"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Guynn', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Meyer', 'Mr. Parry']",2000-03-21,10.0,10.0
"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Guynn', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Meyer', 'Mr. Parry']",2000-05-16,10.0,10.0
"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Guynn', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Meyer', 'Mr. Parry']",2000-06-28,10.0,10.0
"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Guynn', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Meyer', 'Mr. Parry']",2000-08-22,10.0,10.0
"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Guynn', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Meyer', 'Mr. Parry']",2000-10-03,10.0,10.0
"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Guynn', 'Mr. Kelley', 'Mr. Meyer', 'Mr. Parry', 'Mr. Hoenig']",2000-11-15,10.0,10.0
"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Guynn', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Meyer', 'Mr. Parry']",2000-12-19,10.0,10.0
"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Hoenig', 'Mr. Kelley', 'Mr. Meyer', 'Ms. Minehan', 'Mr. Moskow', 'Mr. Poole']",2001-01-31,10.0,10.0
"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Hoenig', 'Mr. Kelley', 'Mr. Meyer', 'Ms. Minehan', 'Mr. Moskow', 'Mr. Poole']",2001-03-20,10.0,10.0
"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Hoenig', 'Mr. Kelley', 'Mr. Meyer', 'Ms. Minehan', 'Mr. Moskow', 'Mr. Poole']",2001-05-15,10.0,10.0
"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Hoenig', 'Mr. Kelley', 'Mr. Meyer', 'Ms. Minehan', 'Mr. Moskow', 'Mr. Poole']",2001-06-27,10.0,10.0
"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Hoenig', 'Mr. Kelley', 'Mr. Meyer', 'Ms. Minehan', 'Mr. Moskow', 'Mr. Poole']",2001-08-21,10.0,10.0
"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Hoenig', 'Mr. Kelley', 'Mr. Meyer', 'Ms. Minehan', 'Mr. Moskow', 'Mr. Poole']",2001-10-02,10.0,10.0
"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Hoenig', 'Mr. Kelley', 'Mr. Meyer', 'Ms. Minehan', 'Mr. Moskow', 'Mr. Poole']",2001-11-06,10.0,10.0
"['Mr. Greenspan', 'Mr. McDonough', 'Ms. Bies', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Hoenig', 'Mr. Meyer', 'Ms. Minehan', 'Mr. Moskow', 'Mr. Olson', 'Mr. Poole']",2001-12-11,11.0,11.0
"['Mr. Greenspan', 'Mr. McDonough', 'Ms. Bies', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Jordan', 'Mr. McTeer', 'Mr. Olson', 'Mr. Santomero', 'Mr. Stern']",2002-01-30,10.0,10.0
"['Mr. Greenspan', 'Mr. McDonough', 'Ms. Bies', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Jordan', 'Mr. McTeer', 'Mr. Olson', 'Mr. Santomero', 'Mr. Stern']",2002-03-19,10.0,10.0
"['Mr. Greenspan', 'Mr. McDonough', 'Ms. Bies', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Jordan', 'Mr. McTeer', 'Mr. Olson', 'Mr. Santomero', 'Mr. Stern']",2002-05-07,10.0,10.0
"['Mr. Greenspan', 'Mr. McDonough', 'Ms. Bies', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Jordan', 'Mr. McTeer', 'Mr. Olson', 'Mr. Santomero', 'Mr. Stern']",2002-06-26,10.0,10.0
"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Bernanke', 'Ms. Bies', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Jordan', 'Mr. Kohn', 'Mr. McTeer', 'Mr. Olson', 'Mr. Santomero', 'Mr. Stern']",2002-08-13,12.0,12.0
"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Bernanke', 'Ms. Bies', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Jordan', 'Mr. Kohn', 'Mr. McTeer', 'Mr. Olson', 'Mr. Santomero', 'Mr. Stern']",2002-09-24,12.0,12.0
"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Bernanke', 'Ms. Bies', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Jordan', 'Mr. Kohn', 'Mr. McTeer', 'Mr. Olson', 'Mr. Santomero', 'Mr. Stern']",2002-11-06,12.0,12.0
"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Bernanke', 'Ms. Bies', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Jordan', 'Mr. Kohn', 'Mr. McTeer', 'Mr. Olson', 'Mr. Santomero', 'Mr. Stern']",2002-12-10,12.0,12.0
"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Bernanke', 'Ms. Bies', 'Mr. Broaddus', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Guynn', 'Mr. Kohn', 'Mr. Moskow', 'Mr. Olson', 'Mr. Parry']",2003-01-29,12.0,12.0
"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Bernanke', 'Ms. Bies', 'Mr. Broaddus', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Guynn', 'Mr. Kohn', 'Mr. Moskow', 'Mr. Olson', 'Mr. Parry']",2003-03-18,12.0,12.0
"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Bernanke', 'Ms. Bies', 'Mr. Broaddus', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Guynn', 'Mr. Kohn', 'Mr. Moskow', 'Mr. Olson', 'Mr. Parry']",2003-05-06,12.0,12.0
"['Mr. Greenspan', 'Mr. Bernanke', 'Ms. Bies', 'Mr. Broaddus', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Guynn', 'Mr. Kohn', 'Mr. Moskow', 'Mr. Olson', 'Mr. Parry', 'Mr. Hoenig']",2003-06-25,12.0,12.0
"['Mr. Greenspan', 'Mr. Bernanke', 'Ms. Bies', 'Mr. Broaddus', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Guynn', 'Mr. Kohn', 'Mr. Moskow', 'Mr. Olson', 'Mr. Parry', 'Mr. Hoenig']",2003-08-12,12.0,12.0
"['Mr. Greenspan', 'Mr. Bernanke', 'Ms. Bies', 'Mr. Broaddus', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Guynn', 'Mr. Kohn', 'Mr. Moskow', 'Mr. Olson', 'Mr. Parry', 'Mr. Hoenig']",2003-09-16,12.0,12.0
"['Mr. Greenspan', 'Mr. Bernanke', 'Ms. Bies', 'Mr. Broaddus', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Guynn', 'Mr. Kohn', 'Mr. Moskow', 'Mr. Olson', 'Mr. Parry', 'Mr. Hoenig']",2003-10-28,12.0,12.0
"['Mr. Greenspan', 'Mr. Geithner', 'Mr. Bernanke', 'Ms. Bies', 'Mr. Broaddus', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Guynn', 'Mr. Kohn', 'Mr. Moskow', 'Mr. Olson', 'Mr. Parry']",2003-12-09,12.0,12.0
"['Mr. Greenspan', 'Mr. Geithner', 'Mr. Bernanke', 'Ms. Bies', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Hoenig', 'Mr. Kohn', 'Ms. Minehan', 'Mr. Olson', 'Ms. Pianalto', 'Mr. Poole']",2004-01-28,12.0,12.0
"['Mr. Greenspan', 'Mr. Geithner', 'Mr. Bernanke', 'Ms. Bies', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Hoenig', 'Mr. Kohn', 'Ms. Minehan', 'Mr. Olson', 'Ms. Pianalto', 'Mr. Poole']",2004-03-16,12.0,12.0
"['Mr. Greenspan', 'Mr. Geithner', 'Mr. Bernanke', 'Ms. Bies', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Hoenig', 'Mr. Kohn', 'Ms. Minehan', 'Mr. Olson', 'Ms. Pianalto', 'Mr. Poole']",2004-05-04,12.0,12.0
"['Mr. Greenspan', 'Mr. Geithner', 'Mr. Bernanke', 'Ms. Bies', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Hoenig', 'Mr. Kohn', 'Ms. Minehan', 'Mr. Olson', 'Ms. Pianalto', 'Mr. Poole']",2004-06-30,12.0,12.0
"['Mr. Greenspan', 'Mr. Geithner', 'Mr. Bernanke', 'Ms. Bies', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Hoenig', 'Mr. Kohn', 'Ms. Minehan', 'Mr. Olson', 'Ms. Pianalto', 'Mr. Poole']",2004-08-10,12.0,12.0
"['Mr. Greenspan', 'Mr. Geithner', 'Mr. Bernanke', 'Ms. Bies', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Hoenig', 'Mr. Kohn', 'Ms. Minehan', 'Mr. Olson', 'Ms. Pianalto', 'Mr. Poole']",2004-09-21,12.0,12.0
"['Mr. Greenspan', 'Mr. Geithner', 'Mr. Bernanke', 'Ms. Bies', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Hoenig', 'Mr. Kohn', 'Ms. Minehan', 'Mr. Olson', 'Ms. Pianalto', 'Mr. Poole']",2004-11-10,12.0,12.0
"['Mr. Greenspan', 'Mr. Geithner', 'Mr. Bernanke', 'Ms. Bies', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Hoenig', 'Mr. Kohn', 'Ms. Minehan', 'Mr. Olson', 'Ms. Pianalto', 'Mr. Poole']",2004-12-14,12.0,12.0
"['Mr. Greenspan', 'Mr. Geithner', 'Mr. Bernanke', 'Ms. Bies', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Kohn', 'Mr. Moskow', 'Mr. Olson', 'Mr. Santomero', 'Mr. Stern', 'Mr. Hoenig']",2005-02-02,12.0,12.0
"['Mr. Greenspan', 'Mr. Geithner', 'Mr. Bernanke', 'Ms. Bies', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Kohn', 'Mr. Moskow', 'Mr. Olson', 'Mr. Santomero', 'Mr. Stern', 'Ms. Cumming']",2005-03-22,12.0,12.0
"['Mr. Greenspan', 'Mr. Geithner', 'Ms. Bies', 'Mr. Ferguson', 'Mr. Fisher', 'Mr. Gramlich', 'Mr. Kohn', 'Mr. Moskow', 'Mr. Olson', 'Mr. Santomero', 'Mr. Stern']",2005-05-03,11.0,11.0
"['Mr. Greenspan', 'Mr. Geithner', 'Ms. Bies', 'Mr. Ferguson', 'Mr. Fisher', 'Mr. Gramlich', 'Mr. Kohn', 'Mr. Moskow', 'Mr. Olson', 'Mr. Santomero', 'Mr. Stern']",2005-06-30,11.0,11.0
"['Mr. Greenspan', 'Mr. Geithner', 'Ms. Bies', 'Mr. Ferguson', 'Mr. Fisher', 'Mr. Kohn', 'Mr. Moskow', 'Mr. Olson', 'Mr. Santomero', 'Mr. Stern']",2005-08-09,10.0,10.0
"['Mr. Greenspan', 'Mr. Geithner', 'Ms. Bies', 'Mr. Ferguson', 'Mr. Fisher', 'Mr. Kohn', 'Mr. Moskow', 'Mr. Olson', 'Mr. Santomero', 'Mr. Stern']",2005-09-20,10.0,10.0
"['Mr. Greenspan', 'Mr. Geithner', 'Ms. Bies', 'Mr. Ferguson', 'Mr. Fisher', 'Mr. Kohn', 'Mr. Moskow', 'Mr. Olson', 'Mr. Santomero', 'Mr. Stern']",2005-11-01,10.0,10.0
"['Mr. Greenspan', 'Mr. Geithner', 'Ms. Bies', 'Mr. Ferguson', 'Mr. Fisher', 'Mr. Kohn', 'Mr. Moskow', 'Mr. Olson', 'Mr. Santomero', 'Mr. Stern']",2005-12-13,10.0,10.0
"['Mr. Greenspan', 'Mr. Geithner', 'Ms. Bies', 'Mr. Ferguson', 'Mr. Guynn', 'Mr. Kohn', 'Mr. Lacker', 'Mr. Olson', 'Ms. Pianalto', 'Ms. Yellen']",2006-01-31,10.0,10.0
"['Mr. Bernanke', 'Mr. Geithner', 'Ms. Bies', 'Mr. Guynn', 'Mr. Kohn', 'Mr. Kroszner', 'Mr. Lacker', 'Mr. Olson', 'Ms. Pianalto', 'Mr. Warsh', 'Ms. Yellen']",2006-03-28,11.0,11.0
"['Mr. Bernanke', 'Mr. Geithner', 'Ms. Bies', 'Mr. Guynn', 'Mr. Kohn', 'Mr. Kroszner', 'Mr. Lacker', 'Mr. Olson', 'Ms. Pianalto', 'Mr. Warsh', 'Ms. Yellen']",2006-05-10,11.0,11.0
"['Mr. Bernanke', 'Mr. Geithner', 'Ms. Bies', 'Mr. Guynn', 'Mr. Kohn', 'Mr. Kroszner', 'Mr. Lacker', 'Ms. Pianalto', 'Mr. Warsh', 'Ms. Yellen']",2006-06-29,10.0,10.0
"['Mr. Bernanke', 'Mr. Geithner', 'Ms. Bies', 'Mr. Guynn', 'Mr. Kohn', 'Mr. Kroszner', 'Mr. Lacker', 'Ms. Pianalto', 'Mr. Warsh', 'Ms. Yellen']",2006-08-08,10.0,10.0
"['Mr. Bernanke', 'Mr. Geithner', 'Ms. Bies', 'Mr. Guynn', 'Mr. Kohn', 'Mr. Kroszner', 'Mr. Lacker', 'Mr. Mishkin', 'Ms. Pianalto', 'Mr. Warsh', 'Ms. Yellen']",2006-09-20,11.0,11.0
"['Mr. Bernanke', 'Mr. Geithner', 'Ms. Bies', 'Mr. Kohn', 'Mr. Kroszner', 'Mr. Lacker', 'Mr. Mishkin', 'Ms. Pianalto', 'Mr. Warsh', 'Ms. Yellen', 'Mr. Hoenig']",2006-10-25,11.0,11.0
"['Mr. Bernanke', 'Mr. Geithner', 'Ms. Bies', 'Mr. Kohn', 'Mr. Kroszner', 'Mr. Lacker', 'Mr. Mishkin', 'Ms. Pianalto', 'Mr. Warsh', 'Ms. Yellen', 'Ms. Cumming']",2006-12-12,11.0,11.0
"['Mr. Bernanke', 'Mr. Geithner', 'Ms. Bies', 'Mr. Hoenig', 'Mr. Kohn', 'Mr. Kroszner', 'Ms. Minehan', 'Mr. Mishkin', 'Mr. Moskow', 'Mr. Poole', 'Mr. Warsh']",2007-01-31,11.0,11.0
"['Mr. Bernanke', 'Mr. Geithner', 'Mr. Hoenig', 'Mr. Kohn', 'Mr. Kroszner', 'Ms. Minehan', 'Mr. Mishkin', 'Mr. Moskow', 'Mr. Poole', 'Mr. Warsh']",2007-03-21,10.0,10.0
"['Mr. Bernanke', 'Mr. Geithner', 'Mr. Hoenig', 'Mr. Kohn', 'Mr. Kroszner', 'Ms. Minehan', 'Mr. Mishkin', 'Mr. Moskow', 'Mr. Poole', 'Mr. Warsh']",2007-05-09,10.0,10.0
"['Mr. Bernanke', 'Mr. Geithner', 'Mr. Hoenig', 'Mr. Kohn', 'Mr. Kroszner', 'Ms. Minehan', 'Mr. Mishkin', 'Mr. Moskow', 'Mr. Poole', 'Mr. Warsh']",2007-06-28,10.0,10.0
"['Mr. Bernanke', 'Ms. Cumming', 'Ms. Yellen', 'Ms. Liang', 'Mr. Blanchard', 'Mr. Meyer', 'Ms. Dykes', 'Mr. Luecke', 'Mr. Driscoll', 'Ms. Low']",2007-08-07,10.0,10.0
"['Mr. Bernanke', 'Mr. Geithner', 'Mr. Evans', 'Mr. Hoenig', 'Mr. Kohn', 'Mr. Kroszner', 'Mr. Mishkin', 'Mr. Poole', 'Mr. Rosengren', 'Mr. Warsh']",2007-09-18,10.0,10.0
"['Mr. Bernanke', 'Ms. Cumming', 'Ms. Yellen', 'Mr. Madigan', 'Mr. Dudley', 'Mr. Struckmeyer', 'Mr. English', 'Mr. Wright', 'Mr. Zakraj', 'Mr. Blanchard']",2007-10-31,10.0,10.0
"['Mr. Bernanke', 'Mr. Geithner', 'Mr. Evans', 'Mr. Hoenig', 'Mr. Kohn', 'Mr. Kroszner', 'Mr. Mishkin', 'Mr. Poole', 'Mr. Rosengren', 'Mr. Warsh']",2007-12-11,10.0,10.0
"['Mr. Bernanke', 'Ms. Yellen', 'Mr. Madigan', 'Ms. Mester', 'Mr. Dudley', 'Mr. Struckmeyer', 'Mr. Parkinson', 'Mr. Clouse', 'Ms. Liang', 'Ms. Barger']",2008-01-30,10.0,10.0
"['Mr. Bernanke', 'Ms. Yellen', 'Mr. Sapenaro', 'Mr. Madigan', 'Ms. Mester', 'Mr. Dudley', 'Mr. Struckmeyer', 'Mr. Parkinson', 'Ms. Bailey', 'Mr. Clouse']",2008-03-18,10.0,10.0
"['Mr. Bernanke', 'Ms. Cumming', 'Mr. Lyon', 'Mr. Madigan', 'Ms. Mester', 'Mr. Dudley', 'Ms. J', 'Ms. Roseman', 'Mr. Struckmeyer', 'Mr. Blanchard']",2008-04-30,10.0,10.0
"['Mr. Bernanke', 'Ms. Cumming', 'Mr. Madigan', 'Ms. Mester', 'Mr. Dudley', 'Ms. J', 'Mr. Cole', 'Mr. Struckmeyer', 'Mr. Blanchard', 'Mr. Frierson']",2008-06-25,10.0,10.0
"['Mr. Bernanke', 'Mr. Geithner', 'Ms. Duke', 'Mr. Fisher', 'Mr. Kohn', 'Mr. Kroszner', 'Mr. Mishkin', 'Ms. Pianalto', 'Mr. Plosser', 'Mr. Stern', 'Mr. Warsh']",2008-08-05,11.0,11.0
"['Mr. Bernanke', 'Ms. Duke', 'Mr. Fisher', 'Mr. Kohn', 'Mr. Kroszner', 'Ms. Pianalto', 'Mr. Plosser', 'Mr. Stern', 'Mr. Warsh', 'Ms. Cumming']",2008-09-16,10.0,10.0
"['Mr. Bernanke', 'Ms. Cumming', 'Mr. Madigan', 'Ms. Mester', 'Mr. Dudley', 'Ms. Bailey', 'Mr. Clouse', 'Mr. Struckmeyer', 'Mr. Blanchard', 'Ms. Kole']",2008-10-29,10.0,10.0
"['Mr. Bernanke', 'Ms. Cumming', 'Mr. Madigan', 'Ms. Mester', 'Mr. Dudley', 'Mr. Cole', 'Ms. Johnson', 'Mr. Struckmeyer', 'Mr. Blanchard', 'Mr. Frierson']",2008-12-16,10.0,10.0
